entry_time,exit_time,side,entry_price,exit_price,pnl,result,quantity
2020-02-10 10:00:00,2020-02-10 15:45:00,long,9458.25,9526.0,5408.0,win,4
2020-02-11 10:00:00,2020-02-11 15:45:00,long,9597.75,9532.75,-5212.0,loss,4
2020-02-12 10:30:00,2020-02-12 15:45:00,long,9599.25,9623.5,1928.0,win,4
2020-02-13 10:00:00,2020-02-13 15:45:00,long,9608.0,9625.25,1368.0,win,4
2020-02-14 10:00:00,2020-02-14 15:45:00,long,9637.5,9630.25,-592.0,loss,4
2020-02-18 10:00:00,2020-02-18 15:45:00,long,9606.75,9640.25,2668.0,win,4
2020-02-19 10:00:00,2020-02-19 15:45:00,long,9731.25,9734.25,228.0,win,4
2020-02-26 09:45:00,2020-02-26 15:45:00,long,9008.0,8821.0,-7486.0,loss,2
2020-02-27 11:00:00,2020-02-27 14:45:00,long,8747.75,8474.585929587023,-10932.562816519072,loss,2
2020-02-28 10:15:00,2020-02-28 15:45:00,long,8340.25,8548.0,8304.0,win,2
2020-03-02 10:00:00,2020-03-02 15:45:00,long,8636.25,8820.0,7344.0,win,2
2020-03-04 09:30:00,2020-03-04 15:45:00,long,8760.25,8889.25,5154.0,win,2
2020-03-05 10:00:00,2020-03-05 15:45:00,long,8848.25,8674.0,-6976.0,loss,2
2020-03-06 10:00:00,2020-03-06 15:45:00,long,8455.25,8501.75,1854.0,win,2
2020-03-09 10:15:00,2020-03-09 15:45:00,long,8127.75,7915.0,-4258.0,loss,1
2020-03-12 11:45:00,2020-03-12 15:45:00,long,7594.25,7160.5,-8678.0,loss,1
2020-03-13 11:30:00,2020-03-13 15:45:00,long,7518.25,7823.0,6092.0,win,1
2020-03-16 10:00:00,2020-03-16 14:45:00,long,7476.0,6974.591099819763,-10031.178003604735,loss,1
2020-03-17 10:00:00,2020-03-17 15:45:00,long,7357.25,7347.25,-203.0,loss,1
2020-03-19 09:30:00,2020-03-19 15:45:00,long,7252.0,7184.75,-1348.0,loss,1
2020-03-23 11:30:00,2020-03-23 15:45:00,long,7019.5,6978.0,-833.0,loss,1
2020-03-24 10:00:00,2020-03-24 15:45:00,long,7395.5,7553.25,3152.0,win,1
2020-03-25 11:30:00,2020-03-25 15:45:00,long,7613.0,7478.0,-2703.0,loss,1
2020-03-26 10:00:00,2020-03-26 15:45:00,long,7660.0,7861.5,4027.0,win,1
2020-03-27 11:45:00,2020-03-27 15:45:00,long,7651.5,7561.0,-1813.0,loss,1
2020-03-30 10:00:00,2020-03-30 15:45:00,long,7800.5,7853.25,1052.0,win,1
2020-03-31 10:00:00,2020-03-31 15:45:00,long,7945.25,7781.75,-3273.0,loss,1
2020-04-01 10:00:00,2020-04-01 15:45:00,long,7670.75,7463.5,-4148.0,loss,1
2020-04-02 10:00:00,2020-04-02 15:45:00,long,7549.25,7622.0,1452.0,win,1
2020-04-06 10:00:00,2020-04-06 15:45:00,long,7869.5,8035.75,3322.0,win,1
2020-04-07 11:15:00,2020-04-07 15:45:00,long,8236.0,7998.0,-4763.0,loss,1
2020-04-08 10:00:00,2020-04-08 15:45:00,long,8141.25,8201.75,1207.0,win,1
2020-04-09 11:00:00,2020-04-09 15:45:00,long,8252.25,8238.75,-546.0,loss,2
2020-04-13 10:45:00,2020-04-13 15:45:00,long,8204.75,8338.0,5324.0,win,2
2020-04-14 10:00:00,2020-04-14 15:45:00,long,8558.0,8703.25,5804.0,win,2
2020-04-15 11:15:00,2020-04-15 15:45:00,long,8556.0,8576.5,814.0,win,2
2020-04-16 10:00:00,2020-04-16 15:45:00,long,8716.25,8838.5,4884.0,win,2
2020-04-20 10:00:00,2020-04-20 15:45:00,long,8815.0,8713.25,-4076.0,loss,2
2020-04-22 10:00:00,2020-04-22 15:45:00,long,8586.75,8633.25,1854.0,win,2
2020-04-23 10:00:00,2020-04-23 15:45:00,long,8752.25,8600.75,-6066.0,loss,2
2020-04-24 10:00:00,2020-04-24 15:45:00,long,8621.75,8763.75,5674.0,win,2
2020-04-29 09:30:00,2020-04-29 15:45:00,long,8916.25,9118.25,8074.0,win,2
2020-05-01 10:00:00,2020-05-01 15:45:00,long,8818.75,8702.0,-4676.0,loss,2
2020-05-04 10:00:00,2020-05-04 15:45:00,long,8755.25,8809.0,2144.0,win,2
2020-05-05 10:00:00,2020-05-05 15:45:00,long,8958.0,8932.75,-1016.0,loss,2
2020-05-06 10:00:00,2020-05-06 15:45:00,long,9022.0,8946.25,-3036.0,loss,2
2020-05-07 10:30:00,2020-05-07 15:45:00,long,9097.5,9118.25,824.0,win,2
2020-05-08 10:15:00,2020-05-08 15:45:00,long,9178.0,9222.5,1774.0,win,2
2020-05-11 10:00:00,2020-05-11 15:45:00,long,9233.5,9280.75,2826.0,win,3
2020-05-12 10:00:00,2020-05-12 15:00:00,long,9321.25,9098.380201663667,-8920.791933453307,loss,2
2020-05-14 10:00:00,2020-05-14 15:45:00,long,8950.75,9088.5,5504.0,win,2
2020-05-15 11:30:00,2020-05-15 15:45:00,long,9049.25,9117.5,2724.0,win,2
2020-05-18 10:00:00,2020-05-18 15:45:00,long,9324.25,9317.0,-296.0,loss,2
2020-05-19 10:00:00,2020-05-19 15:45:00,long,9388.25,9297.0,-5484.0,loss,3
2020-05-20 10:00:00,2020-05-20 15:45:00,long,9473.5,9494.0,1221.0,win,3
2020-05-22 10:00:00,2020-05-22 15:45:00,long,9353.0,9421.5,4101.0,win,3
2020-05-25 10:00:00,2020-05-25 17:00:00,long,9528.0,9514.25,-834.0,loss,3
2020-05-28 10:00:00,2020-05-28 15:45:00,long,9485.25,9458.5,-1076.0,loss,2
2020-05-29 11:45:00,2020-05-29 15:45:00,long,9446.0,9586.75,5624.0,win,2
2020-06-01 10:00:00,2020-06-01 15:45:00,long,9560.0,9592.5,1941.0,win,3
2020-06-03 09:45:00,2020-06-03 15:45:00,long,9678.0,9690.5,741.0,win,3
2020-06-05 09:30:00,2020-06-05 15:45:00,long,9765.25,9807.75,2541.0,win,3
2020-06-08 10:15:00,2020-06-08 15:45:00,long,9820.75,9883.25,3741.0,win,3
2020-06-09 10:00:00,2020-06-09 15:45:00,long,9951.5,9961.75,606.0,win,3
2020-06-10 10:15:00,2020-06-10 15:45:00,long,10059.75,10088.25,1701.0,win,3
2020-06-15 09:45:00,2020-06-15 15:45:00,long,9577.5,9799.75,8884.0,win,2
2020-06-16 11:45:00,2020-06-16 15:45:00,long,9949.75,9959.25,374.0,win,2
2020-06-17 10:30:00,2020-06-17 15:45:00,long,10001.0,9986.25,-596.0,loss,2
2020-06-18 10:15:00,2020-06-18 15:45:00,long,9990.5,9989.5,-46.0,loss,2
2020-06-22 09:30:00,2020-06-22 15:45:00,long,10045.25,10121.5,3044.0,win,2
2020-06-23 10:00:00,2020-06-23 15:45:00,long,10232.5,10177.0,-2226.0,loss,2
2020-06-25 10:00:00,2020-06-25 15:45:00,long,9979.5,10097.5,4714.0,win,2
2020-06-29 10:00:00,2020-06-29 15:45:00,long,9837.5,9986.0,5934.0,win,2
2020-06-30 10:00:00,2020-06-30 15:45:00,long,10070.25,10139.25,2754.0,win,2
2020-07-01 10:00:00,2020-07-01 15:45:00,long,10233.0,10255.5,894.0,win,2
2020-07-02 10:30:00,2020-07-02 15:45:00,long,10376.5,10349.75,-1076.0,loss,2
2020-07-06 10:00:00,2020-07-06 15:45:00,long,10594.0,10597.75,216.0,win,3
2020-07-07 10:00:00,2020-07-07 15:45:00,long,10680.75,10526.75,-9249.0,loss,3
2020-07-08 10:00:00,2020-07-08 15:45:00,long,10594.5,10671.75,4626.0,win,3
2020-07-09 12:00:00,2020-07-09 15:45:00,long,10711.75,10724.0,726.0,win,3
2020-07-10 10:00:00,2020-07-10 15:45:00,long,10714.25,10843.75,7761.0,win,3
2020-07-13 10:00:00,2020-07-13 13:30:00,long,11037.5,10812.725675669823,-8996.9729732071,loss,2
2020-07-14 10:45:00,2020-07-14 15:45:00,long,10559.5,10643.25,3344.0,win,2
2020-07-16 10:45:00,2020-07-16 15:45:00,long,10542.25,10534.0,-336.0,loss,2
2020-07-17 10:45:00,2020-07-17 15:45:00,long,10613.0,10622.5,374.0,win,2
2020-07-20 10:00:00,2020-07-20 15:45:00,long,10770.25,10947.5,7084.0,win,2
2020-07-22 11:15:00,2020-07-22 15:45:00,long,10850.25,10845.0,-216.0,loss,2
2020-07-24 10:00:00,2020-07-24 15:45:00,long,10494.5,10460.75,-1356.0,loss,2
2020-07-27 11:00:00,2020-07-27 15:45:00,long,10579.0,10682.0,4114.0,win,2
2020-07-28 10:15:00,2020-07-28 15:45:00,long,10621.75,10549.25,-2906.0,loss,2
2020-07-29 10:00:00,2020-07-29 15:45:00,long,10633.0,10699.5,2654.0,win,2
2020-07-30 10:00:00,2020-07-30 15:45:00,long,10589.0,10891.0,12074.0,win,2
2020-08-03 10:00:00,2020-08-03 15:45:00,long,11036.5,11053.5,674.0,win,2
2020-08-04 10:00:00,2020-08-04 15:45:00,long,11054.5,11078.5,954.0,win,2
2020-08-05 11:00:00,2020-08-05 15:45:00,long,11108.0,11095.75,-744.0,loss,3
2020-08-06 10:15:00,2020-08-06 15:45:00,long,11116.5,11258.0,8481.0,win,3
2020-08-07 10:00:00,2020-08-07 13:15:00,long,11239.5,11035.58173471469,-12244.095917118633,loss,3
2020-08-10 12:00:00,2020-08-10 15:45:00,long,11089.0,11079.5,-579.0,loss,3
2020-08-11 10:30:00,2020-08-11 15:45:00,long,11041.75,10912.0,-5196.0,loss,2
2020-08-12 10:00:00,2020-08-12 15:45:00,long,11103.75,11116.5,504.0,win,2
2020-08-13 10:00:00,2020-08-13 15:45:00,long,11250.75,11181.25,-2786.0,loss,2
2020-08-14 12:00:00,2020-08-14 15:45:00,long,11165.5,11147.25,-1104.0,loss,3
2020-08-17 10:00:00,2020-08-17 15:45:00,long,11260.75,11287.0,1566.0,win,3
2020-08-18 10:15:00,2020-08-18 15:45:00,long,11348.5,11413.25,3876.0,win,3
2020-08-19 10:00:00,2020-08-19 15:45:00,long,11387.25,11321.5,-3954.0,loss,3
2020-08-20 10:00:00,2020-08-20 15:45:00,long,11373.5,11480.0,6381.0,win,3
2020-08-21 10:00:00,2020-08-21 15:45:00,long,11515.5,11561.75,2766.0,win,3
2020-08-25 09:45:00,2020-08-25 15:45:00,long,11643.75,11736.5,5556.0,win,3
2020-08-26 10:00:00,2020-08-26 15:45:00,long,11844.0,11985.0,8451.0,win,3
2020-08-27 10:00:00,2020-08-27 15:45:00,long,12017.25,11946.75,-4239.0,loss,3
2020-08-28 10:30:00,2020-08-28 15:45:00,long,11992.75,12002.0,546.0,win,3
2020-08-31 10:00:00,2020-08-31 15:45:00,long,12084.25,12106.0,1296.0,win,3
2020-09-01 10:00:00,2020-09-01 15:45:00,long,12248.25,12328.25,4791.0,win,3
2020-09-02 12:00:00,2020-09-02 15:45:00,long,12366.0,12408.5,2541.0,win,3
2020-09-04 11:45:00,2020-09-04 15:45:00,long,11509.75,11538.25,1134.0,win,2
2020-09-07 10:00:00,2020-09-07 17:00:00,long,11514.75,11530.0,604.0,win,2
2020-09-08 10:00:00,2020-09-08 15:45:00,long,11313.25,11043.75,-5393.0,loss,1
2020-09-09 10:00:00,2020-09-09 15:45:00,long,11346.25,11370.25,477.0,win,1
2020-09-10 10:30:00,2020-09-10 14:00:00,long,11487.25,11107.553023007587,-7596.939539848252,loss,1
2020-09-14 09:45:00,2020-09-14 15:45:00,long,11331.25,11260.5,-2836.0,loss,2
2020-09-15 10:15:00,2020-09-15 15:45:00,long,11439.0,11448.0,354.0,win,2
2020-09-17 10:00:00,2020-09-17 15:45:00,long,11127.0,11068.0,-2366.0,loss,2
2020-09-21 11:15:00,2020-09-21 15:45:00,long,10839.25,10980.5,5644.0,win,2
2020-09-22 11:00:00,2020-09-22 15:45:00,long,11047.25,11153.5,4244.0,win,2
2020-09-24 10:00:00,2020-09-24 15:45:00,long,10896.0,10908.5,494.0,win,2
2020-09-25 10:00:00,2020-09-25 15:45:00,long,10995.0,11135.0,5594.0,win,2
2020-09-28 11:45:00,2020-09-28 15:45:00,long,11286.25,11394.25,4314.0,win,2
2020-09-30 10:00:00,2020-09-30 15:45:00,long,11466.0,11357.25,-4356.0,loss,2
2020-10-01 10:45:00,2020-10-01 15:45:00,long,11531.0,11573.0,1674.0,win,2
2020-10-02 10:00:00,2020-10-02 15:45:00,long,11400.25,11251.5,-5956.0,loss,2
2020-10-05 10:00:00,2020-10-05 15:45:00,long,11408.25,11469.25,2434.0,win,2
2020-10-07 09:30:00,2020-10-07 15:45:00,long,11391.25,11474.5,3324.0,win,2
2020-10-08 11:15:00,2020-10-08 15:45:00,long,11546.5,11559.75,524.0,win,2
2020-10-09 10:00:00,2020-10-09 15:45:00,long,11663.0,11727.75,2584.0,win,2
2020-10-12 10:00:00,2020-10-12 15:45:00,long,11998.0,12089.25,3644.0,win,2
2020-10-13 10:15:00,2020-10-13 15:45:00,long,12154.25,12081.5,-2916.0,loss,2
2020-10-15 10:30:00,2020-10-15 15:45:00,long,11847.0,11884.0,1474.0,win,2
2020-10-20 10:45:00,2020-10-20 15:45:00,long,11682.75,11653.0,-1196.0,loss,2
2020-10-22 12:00:00,2020-10-22 15:45:00,long,11646.25,11656.5,404.0,win,2
2020-10-27 09:30:00,2020-10-27 15:45:00,long,11534.0,11554.75,824.0,win,2
2020-10-29 10:00:00,2020-10-29 15:45:00,long,11308.5,11244.75,-2556.0,loss,2
2020-11-03 10:00:00,2020-11-03 15:45:00,long,11304.25,11247.5,-2276.0,loss,2
2020-11-04 10:00:00,2020-11-04 15:45:00,long,11731.5,11814.0,1647.0,win,1
2020-11-05 10:15:00,2020-11-05 15:45:00,long,12058.0,12092.0,1354.0,win,2
2020-11-06 10:00:00,2020-11-06 15:45:00,long,12005.0,12094.5,3574.0,win,2
2020-11-10 10:30:00,2020-11-10 15:45:00,long,11703.75,11624.0,-1598.0,loss,1
2020-11-11 10:00:00,2020-11-11 15:45:00,long,11816.0,11893.0,1537.0,win,1
2020-11-13 11:00:00,2020-11-13 15:45:00,long,11880.0,11945.25,2604.0,win,2
2020-11-16 10:00:00,2020-11-16 15:45:00,long,12020.25,12041.5,844.0,win,2
2020-11-17 10:00:00,2020-11-17 15:45:00,long,12015.0,11969.0,-1846.0,loss,2
2020-11-18 10:15:00,2020-11-18 15:45:00,long,11965.75,11873.75,-3686.0,loss,2
2020-11-19 10:00:00,2020-11-19 15:45:00,long,11923.0,11964.75,1664.0,win,2
2020-11-20 10:00:00,2020-11-20 15:45:00,long,12005.25,11908.0,-3896.0,loss,2
2020-11-24 09:45:00,2020-11-24 15:45:00,long,11986.25,12101.0,4584.0,win,2
2020-11-25 10:15:00,2020-11-25 15:45:00,long,12113.5,12168.75,2204.0,win,2
2020-11-27 09:45:00,2020-11-29 17:00:00,long,12295.75,12319.75,1431.0,win,3
2020-11-30 12:00:00,2020-11-30 15:45:00,long,12210.0,12319.25,6546.0,win,3
2020-12-01 10:15:00,2020-12-01 15:45:00,long,12429.5,12458.5,1731.0,win,3
2020-12-02 10:00:00,2020-12-02 15:45:00,long,12431.75,12462.25,1821.0,win,3
2020-12-03 10:45:00,2020-12-03 15:45:00,long,12510.75,12488.25,-1359.0,loss,3
2020-12-04 10:15:00,2020-12-04 15:45:00,long,12511.5,12509.25,-144.0,loss,3
2020-12-07 10:00:00,2020-12-07 15:45:00,long,12606.25,12571.75,-2079.0,loss,3
2020-12-08 10:15:00,2020-12-08 15:45:00,long,12561.75,12647.5,5136.0,win,3
2020-12-10 09:45:00,2020-12-10 15:45:00,long,12428.25,12388.5,-2394.0,loss,3
2020-12-14 09:45:00,2020-12-14 15:45:00,long,12501.5,12465.75,-2154.0,loss,3
2020-12-16 09:30:00,2020-12-16 15:45:00,long,12630.0,12676.0,2751.0,win,3
2020-12-21 10:30:00,2020-12-21 15:45:00,long,12583.25,12689.0,6336.0,win,3
2020-12-23 11:00:00,2020-12-23 15:45:00,long,12702.0,12655.75,-2784.0,loss,3
2020-12-24 11:45:00,2020-12-27 17:00:00,long,12703.75,12711.25,588.0,win,4
2020-12-28 10:00:00,2020-12-28 15:45:00,long,12814.0,12842.5,2268.0,win,4
2020-12-29 10:15:00,2020-12-29 15:45:00,long,12873.5,12857.75,-1272.0,loss,4
2020-12-31 09:30:00,2020-12-31 15:45:00,long,12847.75,12883.0,2808.0,win,4
2021-01-05 10:15:00,2021-01-05 15:45:00,long,12731.0,12803.5,4341.0,win,3
2021-01-06 10:00:00,2021-01-06 15:45:00,long,12760.0,12658.0,-6129.0,loss,3
2021-01-07 10:00:00,2021-01-07 15:45:00,long,12877.0,12925.75,1944.0,win,2
2021-01-08 10:00:00,2021-01-08 15:45:00,long,13029.75,13123.25,3734.0,win,2
2021-01-11 10:15:00,2021-01-11 15:45:00,long,12978.75,12905.75,-4389.0,loss,3
2021-01-13 09:45:00,2021-01-13 15:45:00,long,12972.5,12973.0,21.0,win,3
2021-01-14 10:00:00,2021-01-14 15:45:00,long,13017.75,12899.75,-7089.0,loss,3
2021-01-15 11:30:00,2021-01-15 15:45:00,long,12851.25,12759.0,-5544.0,loss,3
2021-01-18 10:00:00,2021-01-18 17:00:00,long,12809.0,12818.5,561.0,win,3
2021-01-19 11:15:00,2021-01-19 15:45:00,long,12918.5,13032.75,6846.0,win,3
2021-01-20 10:00:00,2021-01-20 15:45:00,long,13229.0,13290.5,3681.0,win,3
2021-01-21 10:00:00,2021-01-21 15:45:00,long,13374.75,13397.0,1326.0,win,3
2021-01-22 10:30:00,2021-01-22 15:45:00,long,13354.75,13355.25,21.0,win,3
2021-01-26 09:45:00,2021-01-26 15:45:00,long,13509.25,13552.25,2571.0,win,3
2021-01-28 09:30:00,2021-01-28 15:45:00,long,13230.25,13151.75,-3146.0,loss,2
2021-02-01 09:30:00,2021-02-01 15:45:00,long,13116.0,13235.25,4764.0,win,2
2021-02-02 10:00:00,2021-02-02 15:45:00,long,13422.0,13498.0,3034.0,win,2
2021-02-04 09:45:00,2021-02-04 15:45:00,long,13434.5,13563.25,5144.0,win,2
2021-02-05 10:45:00,2021-02-05 15:45:00,long,13564.75,13603.5,1544.0,win,2
2021-02-09 09:30:00,2021-02-09 15:45:00,long,13725.75,13697.5,-1136.0,loss,2
2021-02-11 10:00:00,2021-02-11 15:45:00,long,13719.5,13710.25,-564.0,loss,3
2021-02-12 10:00:00,2021-02-12 15:45:00,long,13733.25,13820.75,5241.0,win,3
2021-02-15 10:00:00,2021-02-15 17:00:00,long,13858.0,13866.5,501.0,win,3
2021-02-18 11:15:00,2021-02-18 15:45:00,long,13562.0,13640.0,4671.0,win,3
2021-02-19 10:15:00,2021-02-19 15:45:00,long,13692.5,13573.0,-7179.0,loss,3
2021-02-23 10:00:00,2021-02-23 15:45:00,long,13090.75,13157.5,2664.0,win,2
2021-02-24 10:15:00,2021-02-24 15:45:00,long,13160.25,13314.0,6144.0,win,2
2021-02-26 10:00:00,2021-02-26 15:45:00,long,12939.25,12905.75,-1346.0,loss,2
2021-03-01 10:00:00,2021-03-01 15:45:00,long,13194.75,13314.0,4764.0,win,2
2021-03-04 09:30:00,2021-03-04 12:45:00,long,12710.25,12338.900390920156,-7429.99218159687,loss,1
2021-03-05 11:45:00,2021-03-05 15:45:00,long,12523.25,12652.5,2582.0,win,1
2021-03-08 10:00:00,2021-03-08 15:45:00,long,12598.25,12333.5,-5298.0,loss,1
2021-03-09 10:00:00,2021-03-09 15:45:00,long,12719.0,12788.0,1377.0,win,1
2021-03-11 10:00:00,2021-03-11 15:45:00,long,13044.5,13043.5,-23.0,loss,1
2021-03-12 11:00:00,2021-03-12 15:45:00,long,12890.75,12936.25,907.0,win,1
2021-03-15 10:00:00,2021-03-15 15:45:00,long,12972.0,13084.5,4494.0,win,2
2021-03-16 10:00:00,2021-03-16 15:45:00,long,13265.0,13153.25,-4476.0,loss,2
2021-03-19 09:30:00,2021-03-19 15:45:00,long,12822.0,12825.5,134.0,win,2
2021-03-22 10:00:00,2021-03-22 15:45:00,long,13069.25,13062.0,-296.0,loss,2
2021-03-23 10:15:00,2021-03-23 15:45:00,long,13150.5,13030.25,-4816.0,loss,2
2021-03-25 11:15:00,2021-03-25 15:45:00,long,12767.25,12792.0,984.0,win,2
2021-03-26 10:30:00,2021-03-26 15:45:00,long,12822.5,12959.0,5454.0,win,2
2021-03-29 11:30:00,2021-03-29 15:45:00,long,12929.25,12964.25,1394.0,win,2
2021-03-30 10:00:00,2021-03-30 15:45:00,long,12872.5,12890.25,704.0,win,2
2021-03-31 10:00:00,2021-03-31 15:45:00,long,13107.0,13089.0,-726.0,loss,2
2021-04-01 10:00:00,2021-04-01 15:45:00,long,13283.75,13327.25,1734.0,win,2
2021-04-05 10:00:00,2021-04-05 15:45:00,long,13524.0,13600.5,3054.0,win,2
2021-04-06 10:00:00,2021-04-06 15:45:00,long,13637.75,13583.25,-3279.0,loss,3
2021-04-07 10:00:00,2021-04-07 15:45:00,long,13624.5,13621.0,-219.0,loss,3
2021-04-08 10:30:00,2021-04-08 15:45:00,long,13724.0,13788.75,3876.0,win,3
2021-04-09 10:15:00,2021-04-09 15:45:00,long,13723.25,13811.0,5256.0,win,3
2021-04-12 10:45:00,2021-04-12 15:45:00,long,13781.75,13824.75,2571.0,win,3
2021-04-13 10:00:00,2021-04-13 15:45:00,long,13909.25,13975.5,3966.0,win,3
2021-04-15 10:00:00,2021-04-15 15:45:00,long,13996.5,13999.0,141.0,win,3
2021-04-16 11:00:00,2021-04-16 15:45:00,long,14023.5,14024.0,21.0,win,3
2021-04-21 10:00:00,2021-04-21 15:45:00,long,13827.25,13891.25,3831.0,win,3
2021-04-22 10:00:00,2021-04-22 12:45:00,long,13912.0,13717.346596107865,-11688.204233528071,loss,3
2021-04-23 10:00:00,2021-04-23 15:45:00,long,13876.25,13903.5,1626.0,win,3
2021-04-26 10:00:00,2021-04-26 15:45:00,long,13985.5,14021.75,2166.0,win,3
2021-04-30 09:45:00,2021-04-30 15:45:00,long,13898.75,13865.25,-2019.0,loss,3
2021-05-05 10:30:00,2021-05-05 15:45:00,long,13615.5,13483.5,-7929.0,loss,3
2021-05-06 10:45:00,2021-05-06 15:45:00,long,13546.25,13605.75,2374.0,win,2
2021-05-07 10:00:00,2021-05-07 15:45:00,long,13794.25,13715.5,-3156.0,loss,2
2021-05-11 10:15:00,2021-05-11 15:45:00,long,13309.75,13317.0,284.0,win,2
2021-05-13 10:00:00,2021-05-13 15:45:00,long,13127.75,13091.25,-1466.0,loss,2
2021-05-14 10:00:00,2021-05-14 15:45:00,long,13327.5,13398.0,2814.0,win,2
2021-05-18 10:00:00,2021-05-18 15:45:00,long,13380.0,13188.75,-7656.0,loss,2
2021-05-19 10:00:00,2021-05-19 15:45:00,long,13130.0,13218.75,3544.0,win,2
2021-05-20 10:00:00,2021-05-20 15:45:00,long,13433.0,13489.25,2244.0,win,2
2021-05-24 10:00:00,2021-05-24 15:45:00,long,13646.25,13649.5,124.0,win,2
2021-05-26 10:00:00,2021-05-26 15:45:00,long,13709.75,13702.75,-286.0,loss,2
2021-05-27 10:00:00,2021-05-27 15:45:00,long,13702.75,13692.75,-609.0,loss,3
2021-05-28 10:00:00,2021-05-28 15:45:00,long,13721.25,13686.5,-2094.0,loss,3
2021-06-02 10:00:00,2021-06-02 15:45:00,long,13694.25,13677.0,-1392.0,loss,4
2021-06-03 10:15:00,2021-06-03 15:45:00,long,13568.25,13530.25,-2289.0,loss,3
2021-06-04 10:00:00,2021-06-04 15:45:00,long,13747.5,13763.25,936.0,win,3
2021-06-07 10:45:00,2021-06-07 15:45:00,long,13740.5,13822.75,4926.0,win,3
2021-06-09 11:30:00,2021-06-09 15:45:00,long,13863.0,13811.5,-3099.0,loss,3
2021-06-10 10:00:00,2021-06-10 15:45:00,long,13880.0,13973.5,5601.0,win,3
2021-06-14 10:00:00,2021-06-14 15:45:00,long,14021.75,14109.75,7028.0,win,4
2021-06-17 10:00:00,2021-06-17 15:45:00,long,14112.5,14177.0,3861.0,win,3
2021-06-21 09:30:00,2021-06-21 15:45:00,long,14088.25,14137.5,2946.0,win,3
2021-06-22 10:00:00,2021-06-22 15:45:00,long,14193.25,14268.5,4506.0,win,3
2021-06-24 09:45:00,2021-06-24 15:45:00,long,14388.75,14359.0,-1794.0,loss,3
2021-06-28 09:45:00,2021-06-28 15:45:00,long,14460.0,14502.75,3408.0,win,4
2021-06-29 10:00:00,2021-06-29 15:45:00,long,14502.25,14582.75,6428.0,win,4
2021-06-30 10:00:00,2021-06-30 15:45:00,long,14558.5,14555.5,-252.0,loss,4
2021-07-02 10:00:00,2021-07-02 15:45:00,long,14639.0,14701.0,4948.0,win,4
2021-07-05 10:00:00,2021-07-05 17:00:00,long,14699.0,14708.25,728.0,win,4
2021-07-07 11:00:00,2021-07-07 15:45:00,long,14819.5,14810.25,-752.0,loss,4
2021-07-08 10:30:00,2021-07-08 15:45:00,long,14659.25,14713.0,4288.0,win,4
2021-07-09 10:00:00,2021-07-09 15:45:00,long,14774.0,14814.25,3208.0,win,4
2021-07-12 10:00:00,2021-07-12 15:45:00,long,14842.0,14876.0,2708.0,win,4
2021-07-13 10:00:00,2021-07-13 15:45:00,long,14967.5,14865.0,-8212.0,loss,4
2021-07-14 10:00:00,2021-07-14 15:45:00,long,14951.75,14896.75,-4412.0,loss,4
2021-07-20 09:30:00,2021-07-20 15:45:00,long,14631.0,14726.75,5736.0,win,3
2021-07-21 10:00:00,2021-07-21 15:45:00,long,14776.0,14838.25,3726.0,win,3
